IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
1.0.177.20,,"ZyXEL Prestige 660HW-61 ADSL router (ZyNOS 3.40)",96
1.0.197.69,,"OpenWrt (Linux 2.4.32)",94
1.0.218.56,,"OpenWrt (Linux 2.4.32)",94
1.2.130.103,,"Linux 2.6.15 - 2.6.27",97
1.2.161.23,,"Linux 2.6.15 - 2.6.27",97
1.2.223.23,,"Linux 2.6.15 - 2.6.27",97
1.2.225.166,,"Linux 2.6.15 - 2.6.27",97
1.2.225.205,,"Netgear DG834G WAP or Western Digital WD TV media player",92
1.11.145.159,,"Linux 2.6.14 - 2.6.30",97
1.11.149.77,,"D-Link DAP-1522 WAP, or Xerox WorkCentre Pro 245 or 6556 printer",99
1.11.246.50,,"OpenWrt White Russian 0.9 (Linux 2.4.30)",96
1.24.140.56,,"Microsoft Windows Server 2003 SP2",92
1.25.34.242,,"Linux 2.4.33 (embedded)",96
1.28.8.164,,"Linux 2.4.33 (embedded)",96
1.34.52.78,1-34-52-78.HINET-IP.hinet.net,"Linksys WRV54G WAP",95
1.36.20.62,1-36-20-062.static.netvigator.com,"Linux 2.4.33 (embedded)",96
1.36.28.50,1-36-28-050.static.netvigator.com,"Linux 2.4.33 (embedded)",95
1.36.42.123,1-36-42-123.static.netvigator.com,"ipTIME PRO 54G WAP",95
1.36.102.249,1-36-102-249.static.netvigator.com,"Linksys WRTU54G-TM WAP (Linux)",97
1.36.163.193,1-36-163-193.static.netvigator.com,"Linksys WRV54G WAP",92
1.36.248.254,1-36-248-254.static.netvigator.com,"Juniper Networks ERX-700 router",95
1.49.221.143,,"Microsoft Windows XP SP2 or SP3",96
1.55.240.179,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
1.62.123.85,,"Microsoft Windows XP SP3",92
1.62.199.170,,"Linksys RV042 router",97
1.64.136.142,1-64-136-142.static.netvigator.com,"Linux 2.6.16",91
1.80.137.87,,"Secure Computing SG550 firewall (Linux 2.4.31)",94
1.80.187.173,,"Linux 2.4.33 (embedded)",96
1.81.7.134,,"Linux 2.4.33 (embedded)",96
1.83.201.102,,"Linux 2.4.33 (embedded)",99
1.84.71.176,,"Linux 2.4.33 (embedded)",99
1.85.144.98,,"Linux 2.4.33 (embedded)",93
1.85.166.151,,"Linux 2.4.33 (embedded)",99
1.85.176.95,,"Linux 2.4.33 (embedded)",95
1.85.189.31,,"Linux 2.4.33 (embedded)",96
1.85.189.93,,"Secure Computing SG550 firewall (Linux 2.4.31)",89
1.85.254.224,,"Linux 2.4.33 (embedded)",96
1.86.2.103,,"Microsoft Windows XP SP3",96
1.86.8.3,,"Linux 2.4.33 (embedded)",96
1.160.218.21,1-160-218-21.dynamic.hinet.net,"Linux 2.4.33 (embedded)",96
1.160.227.11,1-160-227-11.dynamic.hinet.net,"Microsoft Windows XP SP3",94
1.160.233.150,1-160-233-150.dynamic.hinet.net,"Linux 2.4.33 (embedded)",96
1.160.239.97,1-160-239-97.dynamic.hinet.net,"Linux 2.6.15 - 2.6.27",99
1.162.98.165,1-162-98-165.dynamic.hinet.net,"Microsoft Windows Vista SP2",98
1.163.65.7,1-163-65-7.dynamic.hinet.net,"Linksys WRV54G WAP",96
1.164.87.62,1-164-87-62.dynamic.hinet.net,"Linux 2.6.14 (ASPLinux 11)",96
1.164.217.184,1-164-217-184.dynamic.hinet.net,"Linux 2.6.15 - 2.6.27",99
1.165.66.80,1-165-66-80.dynamic.hinet.net,"OpenWrt (Linux 2.4.32)",94
1.165.145.239,1-165-145-239.dynamic.hinet.net,"Linux 2.6.14 - 2.6.30",96
1.168.90.185,1-168-90-185.dynamic.hinet.net,"Microsoft Windows 2000 SP2 - SP4, Windows XP SP2 - SP3, or Windows Server 2003 SP0 - SP2",92
1.168.245.185,1-168-245-185.dynamic.hinet.net,"Linux 2.6.14 - 2.6.30",96
1.169.134.121,1-169-134-121.dynamic.hinet.net,"Microsoft Windows XP Professional SP3",95
1.169.138.216,1-169-138-216.dynamic.hinet.net,"Microsoft Windows XP SP3",95
1.169.149.19,1-169-149-19.dynamic.hinet.net,"Linux 2.6.15 - 2.6.27",99
1.169.168.16,1-169-168-16.dynamic.hinet.net,"Linux 2.6.14 - 2.6.30",98
1.169.170.146,1-169-170-146.dynamic.hinet.net,"Linksys RV042 router",97
1.169.171.127,1-169-171-127.dynamic.hinet.net,"Linksys RV042 router",94
1.170.19.89,1-170-19-89.dynamic.hinet.net,"Linksys RV042 router",97
1.170.46.142,1-170-46-142.dynamic.hinet.net,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",96
1.170.51.120,1-170-51-120.dynamic.hinet.net,"Microsoft Windows XP SP2 or SP3, or Windows Embedded Standard 2009",96
1.170.52.219,1-170-52-219.dynamic.hinet.net,"Microsoft Windows XP SP2 or SP3",96
1.170.115.1,1-170-115-1.dynamic.hinet.net,"Linksys WRV54G WAP",96
1.171.9.200,1-171-9-200.dynamic.hinet.net,"DD-WRT v24-sp2 (Linux 2.4.36)",95
1.171.15.160,1-171-15-160.dynamic.hinet.net,"DD-WRT v24-sp2 (Linux 2.4.36)",95
1.171.230.116,1-171-230-116.dynamic.hinet.net,"Linksys RV042 router",97
1.175.221.132,1-175-221-132.dynamic.hinet.net,"Microsoft Windows Vista SP2",98
1.175.222.146,1-175-222-146.dynamic.hinet.net,"Microsoft Windows XP SP2 or SP3",95
1.175.230.176,1-175-230-176.dynamic.hinet.net,"Microsoft Windows XP SP2 or SP3",95
1.175.231.125,1-175-231-125.dynamic.hinet.net,"Microsoft Windows XP SP2 or SP3",95
1.176.145.8,,"Linux 2.6.14 - 2.6.30",94
1.176.181.135,,"Linux 2.4.20",99
1.176.238.100,,"Linux 2.6.14 - 2.6.30",94
1.177.146.125,,"Linux 2.6.14 - 2.6.30",94
1.177.150.153,,"Linux 2.6.14 - 2.6.30",94
1.177.177.138,,"Linux 2.6.14 - 2.6.30",97
1.193.20.137,,"Linux 2.4.33 (embedded)",96
1.202.15.37,37.15.202.1.static.bjtelecom.net,"Juniper JUNOS 10.4R6.5",95
1.202.62.17,17.62.202.1.static.bjtelecom.net,"Linux 2.4.33 (embedded)",96
