IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
95.0.0.55,95.0.0.55.dynamic.ttnet.com.tr,"Sirio by Alice VoIP phone",97
95.0.4.131,95.0.4.131.dynamic.ttnet.com.tr,"Redback Networks SmartEdge 600 router (SmartEdge OS)",88
95.0.5.34,95.0.5.34.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.5.145,95.0.5.145.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.10.227,95.0.10.227.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.11.1,95.0.11.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.16.9,,"Linux 2.6.32",99
95.0.18.241,95.0.18.241.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.22.81,95.0.22.81.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.27.81,,"DD-WRT v23 - v24-sp2 (Linux 2.4.20 - 2.4.37)",95
95.0.27.89,,"Redback Networks SmartEdge 600 router (SmartEdge OS)",92
95.0.27.149,,"Linux 2.6.32 - 2.6.33",96
95.0.27.173,,"Linux 2.6.32 - 2.6.33",96
95.0.28.148,,"OpenBSD 3.8 - 4.7",96
95.0.28.149,,"OpenBSD 3.8 - 4.7",96
95.0.37.97,95.0.37.97.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.37.177,95.0.37.177.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.38.193,95.0.38.193.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.47.29,95.0.47.29.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.48.145,95.0.48.145.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
95.0.51.1,95.0.51.1.dynamic.ttnet.com.tr,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
