IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
183.0.186.77,,"Secure Computing SG550 firewall (Linux 2.4.31)",94
183.1.56.26,,"Linux 2.4.33 (embedded)",96
183.1.218.120,,"Microsoft Windows XP SP2 - SP3",92
183.2.7.209,,"Linux 2.4.33 (embedded)",96
183.2.191.246,,"DD-WRT v24-sp2 (Linux 2.6.24)",98
183.3.146.148,,"Linux 2.4.33 (embedded)",96
183.3.154.45,,"Microsoft Windows Vista SP2",96
183.4.112.102,,"Linux 2.4.33 (embedded)",95
183.7.225.55,,"Linksys RV042 router",94
183.11.151.160,,"Linux 2.4.33 (embedded)",96
183.12.89.180,,"Linux 2.4.33 (embedded)",96
183.12.205.143,,"Linux 2.4.33 (embedded)",98
183.13.216.169,,"Linksys WRV200 wireless broadband router",87
183.13.242.218,,"DD-WRT v24-sp2 (Linux 2.4.36)",98
183.14.86.203,,"Linksys RV042 router",93
183.15.125.102,,"Linksys WRV54G WAP",94
183.15.130.158,,"Linux 2.6.32",91
183.17.89.175,,"Linux 2.4.33 (embedded)",96
183.17.138.29,,"3Com Baseline Switch 2250-SFP Plus",94
183.17.229.39,,"Microsoft Windows Server 2003 SP2",91
183.19.241.210,,"Linux 2.4.33 (embedded)",95
183.20.167.177,,"Linux 2.4.33 (embedded)",94
183.20.244.53,,"Linux 2.4.33 (embedded)",96
183.26.175.2,,"Linux 2.4.33 (embedded)",96
183.27.192.176,,"Linux 2.4.33 (embedded)",96
183.28.16.72,,"Linux 2.4.33 (embedded)",96
183.28.217.119,,"Redback Networks SmartEdge 600 router (SmartEdge OS)",90
183.29.43.107,,"Linux 2.4.33 (embedded)",95
183.29.78.192,,"Redback Networks SmartEdge 600 router (SmartEdge OS)",90
183.29.218.246,,"D-Link DPH-150S VoIP phone",95
183.30.56.161,,"Linux 2.4.33 (embedded)",96
183.31.20.123,,"Linux 2.4.33 (embedded)",92
183.31.140.77,,"Linux 2.4.33 (embedded)",94
183.31.214.71,,"Linux 2.4.33 (embedded)",96
183.31.238.57,,"DD-WRT v24-sp2 (Linux 2.4.36)",95
183.31.241.92,,"Linux 2.4.33 (embedded)",94
183.31.248.85,,"HP P2000 G3 NAS device",95
183.32.185.205,,"Linux 2.4.33 (embedded)",95
183.33.202.71,,"Linux 2.4.33 (embedded)",95
183.34.84.158,,"Linux 2.6.16",91
183.36.8.171,,"Linux 2.4.33 (embedded)",93
183.38.125.191,,"Microsoft Windows 7 SP0 - SP1",94
183.38.239.7,,"Linux 2.4.33 (embedded)",96
183.39.83.172,,"Linux 2.4.33 (embedded)",94
183.39.154.28,,"Linux 2.4.33 (embedded)",96
183.57.181.201,,"Linux 2.4.33 (embedded)",96
183.62.9.73,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.10.233,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.11.145,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.26.81,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.32.89,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.32.121,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.32.153,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.35.233,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.37.241,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.38.161,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.39.129,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.41.241,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.43.17,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.43.113,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.44.81,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.44.169,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.44.217,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.46.1,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.47.225,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.51.249,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.52.33,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.52.81,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.56.49,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.59.161,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.96.126,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.98.246,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.131.222,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.134.230,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.136.38,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.151.110,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.151.126,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.158.94,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.175.30,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.198.142,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.202.14,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.234.62,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.239.30,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.241.89,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.241.113,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.241.173,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.242.121,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.242.129,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.242.153,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.244.41,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.244.73,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.244.81,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.248.17,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.248.177,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",96
183.62.249.1,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
183.62.249.201,,"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)",95
